Year,Month,ISHMT,Area,All Hospital Discharges,"Hospital Discharges Per 1,000 Population"
2022,9,Asthma (J45-J46),Co. Dublin,177,0.117885887
2022,10,Asthma (J45-J46),Co. Dublin,177,0.117885887
2022,11,Asthma (J45-J46),Co. Dublin,164,0.109227601
2022,12,Asthma (J45-J46),Co. Dublin,176,0.117219865
2023,1,Asthma (J45-J46),Co. Dublin,193,0.128542238
2023,2,Asthma (J45-J46),Co. Dublin,168,0.111891689
2023,3,Asthma (J45-J46),Co. Dublin,179,0.11921793
2023,4,Asthma (J45-J46),Co. Dublin,154,0.102567381
2023,5,Asthma (J45-J46),Co. Dublin,146,0.097239206
2023,6,Asthma (J45-J46),Co. Dublin,144,0.095907162
2023,7,Asthma (J45-J46),Co. Dublin,134,0.089246942
2023,8,Asthma (J45-J46),Co. Dublin,145,0.096573184
2023,9,Asthma (J45-J46),Co. Dublin,175,0.116553843
2023,10,Asthma (J45-J46),Co. Dublin,164,0.109227601
2023,11,Asthma (J45-J46),Co. Dublin,191,0.127210194
2023,12,Asthma (J45-J46),Co. Dublin,184,0.12254804
2017,1,"Chronic obstructive pulmonary disease & bronchiectasis (J40-J44, J47)",Co. Cork,191,0.321935252
2017,2,"Chronic obstructive pulmonary disease & bronchiectasis (J40-J44, J47)",Co. Cork,148,0.249457682
2017,3,"Chronic obstructive pulmonary disease & bronchiectasis (J40-J44, J47)",Co. Cork,153,0.257885307
2017,4,"Chronic obstructive pulmonary disease & bronchiectasis (J40-J44, J47)",Co. Cork,137,0.230916909
2017,5,"Chronic obstructive pulmonary disease & bronchiectasis (J40-J44, J47)",Co. Cork,119,0.200577461
2017,6,"Chronic obstructive pulmonary disease & bronchiectasis (J40-J44, J47)",Co. Cork,136,0.229231384
2017,7,"Chronic obstructive pulmonary disease & bronchiectasis (J40-J44, J47)",Co. Cork,112,0.188778787
2017,8,"Chronic obstructive pulmonary disease & bronchiectasis (J40-J44, J47)",Co. Cork,124,0.209005085
2017,9,"Chronic obstructive pulmonary disease & bronchiectasis (J40-J44, J47)",Co. Cork,154,0.259570832
2017,10,"Chronic obstructive pulmonary disease & bronchiectasis (J40-J44, J47)",Co. Cork,143,0.241030058
2017,11,"Chronic obstructive pulmonary disease & bronchiectasis (J40-J44, J47)",Co. Cork,134,0.225860334
2017,12,"Chronic obstructive pulmonary disease & bronchiectasis (J40-J44, J47)",Co. Cork,151,0.254514257
2018,1,"Chronic obstructive pulmonary disease & bronchiectasis (J40-J44, J47)",Co. Cork,203,0.342161551
2018,2,"Chronic obstructive pulmonary disease & bronchiectasis (J40-J44, J47)",Co. Cork,145,0.244401108
2018,3,"Chronic obstructive pulmonary disease & bronchiectasis (J40-J44, J47)",Co. Cork,155,0.261256357
2018,4,"Chronic obstructive pulmonary disease & bronchiectasis (J40-J44, J47)",Co. Cork,134,0.225860334
2018,5,"Chronic obstructive pulmonary disease & bronchiectasis (J40-J44, J47)",Co. Cork,162,0.273055031
2018,6,"Chronic obstructive pulmonary disease & bronchiectasis (J40-J44, J47)",Co. Cork,156,0.262941881
2018,7,"Chronic obstructive pulmonary disease & bronchiectasis (J40-J44, J47)",Co. Cork,117,0.197206411
2018,8,"Chronic obstructive pulmonary disease & bronchiectasis (J40-J44, J47)",Co. Cork,116,0.195520886
2018,9,"Chronic obstructive pulmonary disease & bronchiectasis (J40-J44, J47)",Co. Cork,122,0.205634036
2018,10,"Chronic obstructive pulmonary disease & bronchiectasis (J40-J44, J47)",Co. Cork,166,0.27979713
2018,11,"Chronic obstructive pulmonary disease & bronchiectasis (J40-J44, J47)",Co. Cork,141,0.237659008
